date;species;x;y;n
2005-05-27;Clupea harengus;3.93917;51.84083;17
2005-05-27;Clupea harengus;3.9575;51.97;1
2005-05-27;Clupea harengus;3.99467;51.93567;9
2005-05-30;Clupea harengus;4.00283;51.893;10
2005-05-31;Clupea harengus;3.7535;51.7965;6
2005-05-31;Clupea harengus;3.80133;51.81567;5
2005-06-03;Clupea harengus;3.55333;51.63883;1
2005-06-07;Clupea harengus;4.08167;51.98167;1
2005-06-13;Clupea harengus;4.06583;51.8525;1
2005-06-13;Clupea harengus;4.06667;51.85133;1
2005-08-29;Clupea harengus;3.979;51.929;2
2005-08-29;Clupea harengus;3.994;51.93567;6
2005-08-29;Clupea harengus;4.007;51.9485;3
2005-08-31;Clupea harengus;3.9715;51.85217;4
2005-09-01;Clupea harengus;4.007;51.8925;2
2005-09-05;Clupea harengus;3.44083;51.6805;1
2007-05-15;Clupea harengus;3.9355;51.88;2
2007-05-24;Clupea harengus;3.89168;51.87698;3
2007-05-24;Clupea harengus;3.93467;51.9335;1
2007-05-24;Clupea harengus;3.93633;51.9637;1
2007-05-24;Clupea harengus;3.96363;51.91017;2
2007-05-24;Clupea harengus;3.9898;51.94368;4
2007-05-24;Clupea harengus;4.00695;51.95405;5
2007-05-25;Clupea harengus;3.9015;51.8728;3
2007-05-25;Clupea harengus;3.91153;51.84785;6
2007-05-25;Clupea harengus;3.91663;51.85825;5
2007-05-25;Clupea harengus;3.93783;51.83997;7
2007-05-25;Clupea harengus;3.95222;51.84567;7
2007-05-25;Clupea harengus;3.97648;51.8533;6
2007-05-30;Clupea harengus;3.66643;51.77727;1
2007-05-30;Clupea harengus;3.6769;51.7738;3
2007-05-30;Clupea harengus;3.68782;51.80293;3
2007-05-31;Clupea harengus;3.42483;51.63523;1
2007-05-31;Clupea harengus;3.4265;51.61942;4
2007-05-31;Clupea harengus;3.43767;51.59288;4
2007-06-01;Clupea harengus;3.51183;51.66695;6
2007-06-01;Clupea harengus;3.51355;51.63342;3
2007-06-01;Clupea harengus;3.52895;51.66988;1
2007-06-01;Clupea harengus;3.55422;51.64025;3
2007-06-01;Clupea harengus;3.64287;51.64215;2
2007-06-01;Clupea harengus;3.6661;51.63742;2
2007-06-01;Clupea harengus;3.671;51.65088;4
2007-08-20;Clupea harengus;3.91317;51.8975;11
2007-08-20;Clupea harengus;3.93033;51.88967;7
2007-08-20;Clupea harengus;3.93833;51.88017;7
2007-08-20;Clupea harengus;3.94833;51.92467;1
2007-08-20;Clupea harengus;3.9745;51.94367;6
2007-08-20;Clupea harengus;3.97583;51.97533;4
2007-08-21;Clupea harengus;3.88767;51.87683;8
2007-08-21;Clupea harengus;3.89067;51.86033;8
2007-08-21;Clupea harengus;3.89267;51.89383;10
2007-08-21;Clupea harengus;3.9295;51.93233;9
2007-08-21;Clupea harengus;3.94183;51.98117;1
2007-08-23;Clupea harengus;3.9515;51.846;5
2007-08-23;Clupea harengus;3.96417;51.915;7
2007-08-23;Clupea harengus;3.96533;51.95517;9
2007-08-23;Clupea harengus;4;51.85923;10
2007-08-24;Clupea harengus;3.94193;51.84255;6
2007-08-24;Clupea harengus;3.9584;51.91922;8
2007-08-24;Clupea harengus;3.99487;51.93633;6
2007-08-24;Clupea harengus;4.0008;51.94185;4
2007-08-24;Clupea harengus;4.00377;51.95747;4
2007-08-24;Clupea harengus;4.00725;51.95417;8
2007-09-05;Clupea harengus;3.3793;51.63727;1
2007-09-05;Clupea harengus;3.49643;51.71683;5
2007-09-05;Clupea harengus;3.666;51.81087;1
2007-09-06;Clupea harengus;3.42687;51.62818;4
2007-09-06;Clupea harengus;3.46358;51.5986;5
2007-09-06;Clupea harengus;3.51285;51.63337;3
2007-09-06;Clupea harengus;3.53145;51.66157;5
2007-09-06;Clupea harengus;3.55638;51.63942;4
2007-09-06;Clupea harengus;3.6412;51.64032;11
2007-09-07;Clupea harengus;3.52833;51.66923;4
2007-09-07;Clupea harengus;3.54857;51.67417;7
2007-09-07;Clupea harengus;3.66257;51.63613;7
2007-09-07;Clupea harengus;3.67197;51.64845;8
2009-05-13;Clupea harengus;3.9165;51.85217;4
2009-05-13;Clupea harengus;3.977;51.85317;7
2009-05-14;Clupea harengus;3.86705;51.83398;3
2009-05-14;Clupea harengus;3.92968;51.88663;5
2009-05-14;Clupea harengus;3.93537;51.88005;5
2009-05-14;Clupea harengus;3.93833;51.84017;12
2009-05-14;Clupea harengus;3.95217;51.8455;17
2009-05-14;Clupea harengus;3.9635;51.8805;5
2009-05-15;Clupea harengus;3.77817;51.779;4
2009-05-15;Clupea harengus;3.80117;51.8155;12
2009-05-15;Clupea harengus;3.8375;51.84767;1
2009-05-19;Clupea harengus;3.75213;51.82647;7
2009-05-19;Clupea harengus;4.00652;51.89152;3
2009-05-20;Clupea harengus;3.6155;51.72963;2
2009-05-20;Clupea harengus;3.61978;51.75425;3
2009-05-28;Clupea harengus;3.51202;51.66697;3
2009-05-28;Clupea harengus;3.51393;51.64973;6
2009-05-28;Clupea harengus;3.53038;51.67018;7
2009-05-28;Clupea harengus;3.55392;51.6401;2
2009-05-28;Clupea harengus;3.6659;51.63722;1
2009-05-29;Clupea harengus;3.42485;51.63515;2
2009-05-29;Clupea harengus;3.46002;51.61947;9
2009-08-10;Clupea harengus;3.86525;51.92953;4
2009-08-11;Clupea harengus;3.90107;51.87278;5
2009-08-11;Clupea harengus;3.91028;51.8948;2
2009-08-11;Clupea harengus;3.93005;51.88688;9
2009-08-11;Clupea harengus;3.93492;51.88007;8
2009-08-11;Clupea harengus;3.96337;51.8802;7
2009-08-11;Clupea harengus;3.97645;51.8533;14
2009-08-12;Clupea harengus;3.75397;51.79662;6
2009-08-12;Clupea harengus;3.80142;51.81567;4
2009-08-12;Clupea harengus;3.81413;51.85812;2
2009-08-12;Clupea harengus;3.86697;51.834;8
2009-08-12;Clupea harengus;3.95207;51.84555;14
2009-08-13;Clupea harengus;3.93825;51.84027;17
2009-08-14;Clupea harengus;3.7849;51.84137;2
2009-08-14;Clupea harengus;3.91115;51.84767;8
2009-08-18;Clupea harengus;3.45977;51.6888;4
2009-08-18;Clupea harengus;3.4801;51.70328;3
2009-08-18;Clupea harengus;3.5998;51.72958;2
2009-08-19;Clupea harengus;3.395;51.64907;1
2009-08-20;Clupea harengus;3.53212;51.66215;14
2010-05-21;Clupea harengus;3.96293;51.88018;3
2010-05-21;Clupea harengus;4.00653;51.89143;2
2010-05-25;Clupea harengus;3.95265;51.84585;3
2010-05-26;Clupea harengus;3.97703;51.8533;4
2010-05-27;Clupea harengus;3.80122;51.81598;1
2010-05-27;Clupea harengus;3.8019;51.78997;1
2010-05-27;Clupea harengus;3.83722;51.84725;1
2010-05-27;Clupea harengus;3.89112;51.87682;2
2010-05-27;Clupea harengus;3.91692;51.85235;4
2010-05-28;Clupea harengus;3.93735;51.84033;2
2010-06-01;Clupea harengus;3.866;51.8338;2
2010-06-01;Clupea harengus;3.91142;51.84795;1
2010-06-02;Clupea harengus;3.66642;51.77707;3
2010-06-02;Clupea harengus;3.67697;51.77388;6
2010-06-10;Clupea harengus;3.67097;51.65085;4
2010-08-02;Clupea harengus;3.93477;51.8797;8
2010-08-02;Clupea harengus;3.95263;51.89812;13
2010-08-02;Clupea harengus;3.96365;51.88038;28
2010-08-02;Clupea harengus;3.9774;51.85185;15
2010-08-03;Clupea harengus;3.89227;51.8768;2
2010-08-04;Clupea harengus;3.9525;51.8457;13
2010-08-04;Clupea harengus;3.97733;51.8516;11
2010-08-05;Clupea harengus;3.83685;51.84757;11
2010-08-05;Clupea harengus;3.91038;51.90397;6
2010-08-05;Clupea harengus;3.91093;51.89475;5
2010-08-05;Clupea harengus;3.91665;51.85235;13
2010-08-06;Clupea harengus;3.77895;51.77902;5
2010-08-06;Clupea harengus;3.80153;51.8157;2
2010-08-06;Clupea harengus;3.80178;51.79027;4
2010-08-06;Clupea harengus;3.91195;51.84795;10
2010-08-06;Clupea harengus;3.93813;51.84008;12
2010-08-09;Clupea harengus;3.7855;51.84177;1
2010-08-09;Clupea harengus;3.81557;51.8584;2
2010-08-11;Clupea harengus;3.58122;51.73582;6
2010-08-11;Clupea harengus;3.63337;51.80495;9
2010-08-11;Clupea harengus;3.68773;51.80305;3
2010-08-12;Clupea harengus;3.5724;51.72247;2
2010-08-12;Clupea harengus;3.64697;51.79168;6
2010-08-12;Clupea harengus;3.67687;51.7736;4
2010-08-13;Clupea harengus;3.46642;51.69282;12
2010-08-13;Clupea harengus;3.48035;51.70342;3
2010-08-13;Clupea harengus;3.5136;51.66722;7
2010-08-13;Clupea harengus;3.52893;51.6699;5
2010-08-13;Clupea harengus;3.54848;51.66702;5
2010-08-18;Clupea harengus;3.45428;51.5966;4
2010-08-18;Clupea harengus;3.51342;51.6334;4
2010-08-18;Clupea harengus;3.554;51.64;4
2011-05-16;Clupea harengus;3.95245;51.84578;3
2011-05-16;Clupea harengus;3.9774;51.8516;1
2011-05-16;Clupea harengus;4.00523;51.88527;1
2011-05-17;Clupea harengus;3.9328;51.85232;1
2011-05-17;Clupea harengus;3.96347;51.88042;3
2011-05-18;Clupea harengus;3.87733;51.86953;1
2011-05-18;Clupea harengus;3.90183;51.87283;2
2011-05-18;Clupea harengus;3.91138;51.84793;2
2011-05-18;Clupea harengus;3.93507;51.8798;2
2011-05-18;Clupea harengus;3.93608;51.89068;2
2011-05-18;Clupea harengus;3.93785;51.84007;6
2011-05-19;Clupea harengus;3.81615;51.82148;4
2011-05-19;Clupea harengus;3.82192;51.84235;5
2011-05-30;Clupea harengus;3.42753;51.61987;3
2011-05-30;Clupea harengus;3.43792;51.59277;4
2011-05-30;Clupea harengus;3.45998;51.68877;1
2011-05-31;Clupea harengus;3.58353;51.72488;4
2011-05-31;Clupea harengus;3.64242;51.64202;5
2011-06-01;Clupea harengus;3.51198;51.66702;3
2011-06-01;Clupea harengus;3.58112;51.73578;4
2011-06-01;Clupea harengus;3.653;51.78063;2
2011-06-01;Clupea harengus;3.65388;51.7697;4
2011-06-01;Clupea harengus;3.68213;51.6414;4
2011-06-01;Clupea harengus;3.75368;51.79657;4
2011-06-14;Clupea harengus;3.52722;51.59307;1
2011-06-14;Clupea harengus;3.55428;51.64023;3
2011-06-14;Clupea harengus;3.67122;51.65092;4
2011-06-14;Clupea harengus;3.68068;51.82652;1
2011-06-15;Clupea harengus;3.61887;51.75378;2
2012-04-26;Clupea harengus;3.90032;51.87275;4
2012-04-26;Clupea harengus;3.92605;51.85243;4
2012-04-26;Clupea harengus;3.93767;51.84012;6
2012-04-26;Clupea harengus;3.99415;51.85627;18
2012-04-27;Clupea harengus;3.90957;51.90335;1
2012-04-27;Clupea harengus;3.95297;51.84588;22
2012-04-27;Clupea harengus;3.96317;51.88027;6
2012-05-01;Clupea harengus;3.84938;51.91057;1
2012-05-01;Clupea harengus;3.87735;51.86925;3
2012-05-01;Clupea harengus;3.91042;51.89447;3
2012-05-01;Clupea harengus;4.02142;51.89727;4
2012-05-02;Clupea harengus;3.65402;51.76997;2
2012-05-02;Clupea harengus;3.68918;51.78142;1
2012-05-02;Clupea harengus;3.75375;51.79628;7
2012-05-02;Clupea harengus;3.80225;51.79308;2
2012-05-02;Clupea harengus;3.81562;51.82125;2
2012-05-02;Clupea harengus;3.916;51.85213;6
2012-05-03;Clupea harengus;3.54858;51.66687;1
2012-05-03;Clupea harengus;3.64283;51.64222;1
2012-05-04;Clupea harengus;3.52683;51.62642;4
2012-05-11;Clupea harengus;3.671;51.65095;1
2012-05-11;Clupea harengus;3.68152;51.6415;1
2012-05-15;Clupea harengus;3.48153;51.70378;1
2012-08-30;Clupea harengus;3.64275;51.64222;7
2012-08-30;Clupea harengus;3.6689;51.65128;3
2012-09-03;Clupea harengus;3.3914;51.62937;3
2012-09-03;Clupea harengus;3.4161;51.6308;8
2012-09-03;Clupea harengus;3.4266200000000002;51.61935;3
2012-09-03;Clupea harengus;3.43788;51.59303;11
2012-09-04;Clupea harengus;3.45205;51.68057;4
2012-09-04;Clupea harengus;3.4739;51.70268;9
2012-09-04;Clupea harengus;3.49067;51.71112;4
2012-09-04;Clupea harengus;3.63333;51.80513;6
2012-09-04;Clupea harengus;3.80153;51.81577;10
2012-09-04;Clupea harengus;3.90178;51.87282;6
2012-09-04;Clupea harengus;3.9377;51.83998;3
2012-09-05;Clupea harengus;3.81788;51.92138;2
2012-09-05;Clupea harengus;3.84903;51.91048;6
2012-09-05;Clupea harengus;3.8552;51.9217;6
2012-09-05;Clupea harengus;3.91018;51.89443;6
2012-09-05;Clupea harengus;3.93217;51.85245;13
2012-09-06;Clupea harengus;3.89502;51.89492;3
2012-09-06;Clupea harengus;3.91215;51.8481;4
2012-09-06;Clupea harengus;3.9354;51.88015;5
2012-09-06;Clupea harengus;3.94113;51.89272;2
2012-09-06;Clupea harengus;3.96315;51.88007;4
2012-09-06;Clupea harengus;3.99455;51.8563;2
2012-09-06;Clupea harengus;4.02198;51.89847;3
2012-09-07;Clupea harengus;3.76483;51.80357;4
2012-09-07;Clupea harengus;3.89182;51.87703;2
2012-09-17;Clupea harengus;3.54353;51.67552;5
2012-09-17;Clupea harengus;3.65365;51.76977;3
2012-09-17;Clupea harengus;3.6769;51.79547;5
2012-09-17;Clupea harengus;3.68945;51.78172;3
2012-09-18;Clupea harengus;3.5145;51.6335;4
2012-09-18;Clupea harengus;3.53177;51.66173;5
2012-09-18;Clupea harengus;3.55375;51.64038;5
2013-05-06;Clupea harengus;3.865;51.91417;1
2013-05-06;Clupea harengus;3.9485;51.88517;4
2013-05-06;Clupea harengus;3.9515;51.87367;7
2013-05-06;Clupea harengus;3.9771;51.8518;16
2013-05-07;Clupea harengus;3.81517;51.82083;5
2013-05-07;Clupea harengus;3.89217;51.87683;4
2013-05-07;Clupea harengus;3.901;51.87217;7
2013-05-07;Clupea harengus;3.90917;51.90267;1
2013-05-07;Clupea harengus;3.91083;51.8945;5
2013-05-07;Clupea harengus;3.9205;51.8525;9
2013-05-07;Clupea harengus;3.93598;51.8907;35
2013-05-13;Clupea harengus;3.9115;51.84783;18
2013-05-13;Clupea harengus;3.93683;51.8405;7
2013-05-13;Clupea harengus;3.95283;51.846;27
2013-05-13;Clupea harengus;4.021;51.8955;8
2013-05-14;Clupea harengus;3.67683;51.77367;3
2013-05-14;Clupea harengus;3.75467;51.79717;5
2013-05-14;Clupea harengus;3.832;51.79667;5
2013-05-15;Clupea harengus;3.51367;51.63333;5
2013-05-15;Clupea harengus;3.525;51.67233;1
2013-05-15;Clupea harengus;3.52917;51.66983;3
2013-05-15;Clupea harengus;3.53283;51.66217;2
2013-05-15;Clupea harengus;3.55167;51.59967;6
2013-05-15;Clupea harengus;3.63333;51.6505;5
2013-05-16;Clupea harengus;3.554;51.64017;3
2013-05-16;Clupea harengus;3.66665;51.63742;4
2013-05-17;Clupea harengus;3.67083;51.65067;17
2013-05-21;Clupea harengus;3.55067;51.602;3
2013-05-27;Clupea harengus;3.42533;51.63533;1
2013-05-27;Clupea harengus;3.4665;51.69317;1
2013-05-28;Clupea harengus;3.4375;51.593;10
2013-05-28;Clupea harengus;3.53633;51.5995;1
2013-08-14;Clupea harengus;3.84833;51.91032;2
2013-08-14;Clupea harengus;3.85565;51.9226;3
2013-08-14;Clupea harengus;3.93523;51.88012;5
2013-08-14;Clupea harengus;3.96313;51.88012;6
2013-08-14;Clupea harengus;3.978;51.85205;22
2013-08-15;Clupea harengus;3.87822;51.86947;10
2013-08-15;Clupea harengus;3.88942;51.86412;8
2013-08-15;Clupea harengus;3.9096;51.90315;1
2013-08-15;Clupea harengus;3.92762;51.90262;3
2013-08-15;Clupea harengus;3.95232;51.89815;8
2013-08-15;Clupea harengus;3.96755;51.8501;4
2013-08-15;Clupea harengus;4.02175;51.89797;10
2013-08-16;Clupea harengus;3.68933;51.78157;1
2013-08-16;Clupea harengus;3.80722;51.81842;2
2013-08-16;Clupea harengus;3.92658;51.85263;10
2013-08-16;Clupea harengus;3.93813;51.84005;10
2013-08-19;Clupea harengus;3.65037;51.808;3
2013-08-19;Clupea harengus;3.66647;51.77742;1
2013-08-19;Clupea harengus;3.67628;51.79505;2
2013-08-19;Clupea harengus;3.9168;51.85247;11
2013-08-20;Clupea harengus;3.38503;51.6412;1
2013-08-20;Clupea harengus;3.4268;51.6198;7
2013-08-20;Clupea harengus;3.5517;51.5999;1
2013-08-20;Clupea harengus;3.6429;51.64205;4
2013-08-20;Clupea harengus;3.67125;51.6508;4
2013-08-21;Clupea harengus;3.41038;51.62812;14
2013-08-21;Clupea harengus;3.4383;51.59298;4
2013-08-21;Clupea harengus;3.45263;51.681;2
2013-08-21;Clupea harengus;3.47373;51.70248;3
2013-08-21;Clupea harengus;3.49187;51.7113;5
2013-08-21;Clupea harengus;3.52507;51.6726;2
2013-08-22;Clupea harengus;3.39212;51.62992;8
2013-08-22;Clupea harengus;3.52685;51.62642;5
2013-08-22;Clupea harengus;3.52885;51.66995;3
2013-08-22;Clupea harengus;3.53193;51.66225;3
2013-08-22;Clupea harengus;3.54372;51.64908;8
2015-10-12;Clupea harengus;3.81733;51.91767;1
2015-10-12;Clupea harengus;3.8585;51.90417;1
2015-10-12;Clupea harengus;3.92117;51.886;5
2015-10-12;Clupea harengus;3.925;51.85067;6
2015-10-13;Clupea harengus;3.8045;51.824;4
2015-10-14;Clupea harengus;3.47133;51.67267;3
2015-10-14;Clupea harengus;3.50567;51.6135;8
2015-10-14;Clupea harengus;3.6375;51.63117;5
2015-10-15;Clupea harengus;3.54233;51.714;2
2015-10-15;Clupea harengus;3.648;51.77517;6
2015-10-15;Clupea harengus;3.656;51.7625;7
2015-10-15;Clupea harengus;3.84933;51.83667;1
2015-10-19;Clupea harengus;3.95233;51.931;3
2015-10-20;Clupea harengus;3.35767;51.53783;8
2015-10-20;Clupea harengus;3.4095;51.519;2
2016-09-26;Clupea harengus;3.80767;51.82667;9
2016-09-26;Clupea harengus;3.9235;51.8875;7
2016-09-27;Clupea harengus;3.35533;51.53667;7
2016-09-27;Clupea harengus;3.42483;51.501;9
2016-09-27;Clupea harengus;3.54967;51.60183;5
2016-10-03;Clupea harengus;3.9385;51.93517;2
2016-10-04;Clupea harengus;3.3195;51.55367;1
2016-10-04;Clupea harengus;3.505;51.63233;2
2016-10-04;Clupea harengus;3.57767;51.69583;8
2016-10-04;Clupea harengus;3.72133;51.75167;4
2016-10-05;Clupea harengus;3.65183;51.76017;9
2016-10-06;Clupea harengus;3.86683;51.84167;6
2016-10-06;Clupea harengus;3.8711700000000002;51.91267;1
2016-10-06;Clupea harengus;3.91733;51.85267;6
2017-10-31;Clupea harengus;3.36583;51.54417;6
2017-10-31;Clupea harengus;3.5055;51.62533;1
2017-11-01;Clupea harengus;3.54167;51.71767;4
2017-11-01;Clupea harengus;3.5925;51.6845;6
2017-11-01;Clupea harengus;3.63617;51.63433;3
2017-11-01;Clupea harengus;3.66483;51.78483;2
2017-11-02;Clupea harengus;3.80533;51.823;3
2017-11-06;Clupea harengus;3.85417;51.83683;2
2017-11-06;Clupea harengus;3.9025;51.8535;7
2018-10-25;Clupea harengus;3.74883;51.8645;1
2018-10-25;Clupea harengus;3.76917;51.83983;1
2018-10-29;Clupea harengus;3.8675;51.908;1
2018-10-31;Clupea harengus;3.2545;51.43983;2
2018-10-31;Clupea harengus;3.363;51.543;4
2018-11-01;Clupea harengus;3.63;51.81583;1
2018-11-01;Clupea harengus;3.65233;51.76167;11
2018-11-01;Clupea harengus;3.9175;51.85183;8
